persilid,nib,status,berhasil
e72de1a27aea47648d261ad897f095a7,23070405.00168,Bidang tanah sudah tervalidasi.,false
6c063a7342074c40b464fc431b1c760c,23070405.00172,Bidang tanah sudah tervalidasi.,false
ab6e788895404a3a83dd2b0bd8327c36,23070405.00173,Bidang tanah sudah tervalidasi.,false
bc5061092e964bfba3e2e851ea530efc,23070405.00174,Bidang tanah sudah tervalidasi.,false
6a3716431a314a218c88b6fe161da703,23070405.00171,Bidang tanah sudah tervalidasi.,false
780EAEE8F2A68BD7E040A8C010013A5F,23070405.00206,Terdapat selisih luas tekstual dan spasial bidang.,false
ee2206cc695943049add157779598636,23070405.00169,Bidang tanah sudah tervalidasi.,false
780EAEE8F2A88BD7E040A8C010013A5F,23070405.00207,Terdapat selisih luas tekstual dan spasial bidang.,false
780EAEE8F2A48BD7E040A8C010013A5F,23070405.00205,Bidang tanah sudah tervalidasi.,false
C58B619464C149F7E040A8C010016B79,23070405.00514,Bidang tanah sudah tervalidasi.,false
860AFB6505D0497AE040A8C010012818,23070405.00264,Bidang tanah sudah tervalidasi.,false
a20b4461a97c465681b2c5b1e2a7e1a8,23070405.00129,Bidang tanah sudah tervalidasi.,false
C58B619464BF49F7E040A8C010016B79,23070405.00513,Bidang tanah sudah tervalidasi.,false
D9D322B6D0D89470E043021D0B0ACE11,23070405.00656,Bidang tanah sudah tervalidasi.,false
860AFB6505CE497AE040A8C010012818,23070405.00263,Bidang tanah sudah tervalidasi.,false
9BD0E330BE1E0B6AE040A8C010013D1C,23070405.00342,Bidang tanah sudah tervalidasi.,false
D9D322B6D0D69470E043021D0B0ACE11,23070405.00655,Bidang tanah sudah tervalidasi.,false
D9D322B5BFFB946EE043021D0B0ABED7,23070405.00654,Bidang tanah sudah tervalidasi.,false
e6f456885ac143de8618036fa746861c,23070405.00006,Bidang tanah sudah tervalidasi.,false
2b13243df22d400487e8437419f9a4f5,23070405.00007,Bidang tanah sudah tervalidasi.,false
9B301E9DF929F027E040A8C010012FBD,23070405.00340,Bidang tanah sudah tervalidasi.,false
4ddbf1fbd93c401eb8b1aee5bb241267,23070405.00045,Bidang tanah sudah tervalidasi.,false
ead90be0df3742fb811731cc7c97babb,23070405.00046,Bidang tanah sudah tervalidasi.,false
34D1806C7225FF30E053021D0B0A47BE,23070405.00910,Bidang tanah sudah tervalidasi.,false
C6A9C1124E704980E040A8C01001390F,23070405.00517,Bidang tanah sudah tervalidasi.,false
35ba05b0cab84b30a33287942d1635f3,23070405.00490,Bidang tanah sudah tervalidasi.,false
46E81CD4B3F04BB7E053031D0B0AAE93,23070405.00999,Bidang tanah sudah tervalidasi.,false
9cd0bf7e90a946808e5c3dbc6df575fe,23070405.00047,Bidang tanah sudah tervalidasi.,false
46E81CD4B3EE4BB7E053031D0B0AAE93,23070405.00998,Bidang tanah sudah tervalidasi.,false
C6A9C1124E6E4980E040A8C01001390F,23070405.00516,Bidang tanah sudah tervalidasi.,false
8CB3CD486EFFA5BBE0530C1D140A1C34,23070405.01407,Bidang tanah sudah tervalidasi.,false
FD578F1A0E5F44AAE043141D0B0AEF15,23070405.00745,Bidang tanah sudah tervalidasi.,false
9BD0E330BE200B6AE040A8C010013D1C,23070405.00343,Bidang tanah sudah tervalidasi.,false
E445F91F4970F957E043031D0B0A3E17,23070405.00679,Bidang tanah sudah tervalidasi.,false
BC975757C6D6E61FE0530B1D140ACA23,23070405.01715,Bidang tanah sudah tervalidasi.,false
E446201782773DA5E043021D0B0A0262,23070405.00680,Bidang tanah sudah tervalidasi.,false
66afacdb0c6b4e0e8464e516da5de3b4,23070405.00013,Bidang tanah sudah tervalidasi.,false
